chemin_fichier,nom_fichier,page,annee,type_document_source,type_piece,fournisseur,date_document,numero_document,montant_ttc,devise,categorie_depense,type_flux,a_exclure,a_conserver,est_depense,motif_exclusion,statut_extraction_metier,doublon_detecte,motif_doublon,probleme,qualite_data,score_fiabilite
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/12 - COMPTA FOURNISSEURS DECEMBRE/Facture-ActivMedia-Pellegrin-Decembre2025.pdf,Facture-ActivMedia-Pellegrin-Decembre2025.pdf,,2025,facture,facture,PE CONSULTANT SEO,2025-12-26,,320.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/Dernieres factures 2025/Invoice-FASTRP-20663.pdf,Invoice-FASTRP-20663.pdf,,2025,facture,facture,ELEPHORM,2025-12-19,FASTRP-20663,2140.0,EUR,logiciels_abonnements,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/12 - COMPTA FOURNISSEURS DECEMBRE/Sales - Invoice_FV25-019926.Pdf,Sales - Invoice_FV25-019926.Pdf,,2025,facture,facture,HELLOWORK,2025-12-10,FV25-019926,129.6,EUR,telecom,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/12 - COMPTA FOURNISSEURS DECEMBRE/1503642376.pdf,1503642376.pdf,,2025,facture,facture,SNCF,2025-12-05,1503642376,349.99,EUR,transport,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/12 - COMPTA FOURNISSEURS DECEMBRE/Facture-ActivMedia-Pellegrin-Novembre-2025.pdf,Facture-ActivMedia-Pellegrin-Novembre-2025.pdf,,2025,facture,facture,PE CONSULTANT SEO,2025-11-30,,320.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/11 - COMPTA FOURNISSEURS NOVEMBRE/FR001058 Activmedia.pdf,FR001058 Activmedia.pdf,,2025,facture,facture,MAAVA CONSULTING,2025-11-24,FR001058,3684.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/Dernieres factures 2025/Invoice-FASTRP-15898.pdf,Invoice-FASTRP-15898.pdf,,2025,facture,facture,ELEPHORM,2025-11-21,FASTRP-15898,330.0,EUR,logiciels_abonnements,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/11 - COMPTA FOURNISSEURS NOVEMBRE/Adobe_Transaction_No_3272869227_20251110.pdf,Adobe_Transaction_No_3272869227_20251110.pdf,1.0,2025,facture,facture,ADOBE,2025-11-10,10-NOV-2025,34.99,EUR,logiciels_abonnements,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/11 - COMPTA FOURNISSEURS NOVEMBRE/Sales - Invoice_FV25-018184.Pdf,Sales - Invoice_FV25-018184.Pdf,,2025,facture,facture,HELLOWORK,2025-11-10,FV25-018184,129.6,EUR,telecom,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/11 - COMPTA FOURNISSEURS NOVEMBRE/Facture-8575.pdf,Facture-8575.pdf,,2025,facture,facture,APSI,2025-11-07,8575,54.64,EUR,assurance,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/11 - COMPTA FOURNISSEURS NOVEMBRE/Facture_000049_PEPITE_ACTIV_MEDIA.pdf,Facture_000049_PEPITE_ACTIV_MEDIA.pdf,,2025,facture,facture,PEPITE,2025-11-07,49,1316.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/11 - COMPTA FOURNISSEURS NOVEMBRE/Linkuma - LKM-36712.pdf,Linkuma - LKM-36712.pdf,,2025,facture,facture,LINKUMA LKM,2025-11-06,LKM-36712,1200.0,EUR,materiel_achats,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/10 - COMPTA FOURNISSEURS OCTOBRE/Facture-ActivMedia-Pellegrin-Octobre2025.pdf,Facture-ActivMedia-Pellegrin-Octobre2025.pdf,,2025,facture,facture,PE CONSULTANT SEO,2025-10-28,mood-31785,320.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/10 - COMPTA FOURNISSEURS OCTOBRE/facture frais de deplacement.pdf,facture frais de deplacement.pdf,,2025,facture,facture,FRAIS DEPLACEMENT,2025-10-24,,200.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/10 - COMPTA FOURNISSEURS OCTOBRE/facture membre du jury.pdf,facture membre du jury.pdf,,2025,facture,facture,MEMBRE JURY,2025-10-24,,700.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/10 - COMPTA FOURNISSEURS OCTOBRE/Facture-ACTIVMEDA2025.pdf,Facture-ACTIVMEDA2025.pdf,,2025,facture,facture,ORANGE,2025-10-21,,700.0,EUR,telecom,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/09 - COMPTA FOURNISSEURS SEPTEMBRE/Receipt-2378-5970.pdf,Receipt-2378-5970.pdf,,2025,facture,recu,YAMM,2025-10-07,A86C31F2-0002,38.88,EUR,logiciels_abonnements,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/12 - COMPTA FOURNISSEURS DECEMBRE/RCTNCTA9TN.pdf,RCTNCTA9TN.pdf,,2025,facture,recu,AIRBNB,2025-10-04,,93.12,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/12 - COMPTA FOURNISSEURS DECEMBRE/RCESAMQ8YR.pdf,RCESAMQ8YR.pdf,,2025,facture,recu,AIRBNB,2025-09-30,,533.74,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/09 - COMPTA FOURNISSEURS SEPTEMBRE/Sales - Invoice_FV25-014454.Pdf,Sales - Invoice_FV25-014454.Pdf,,2025,facture,facture,HELLOWORK,2025-09-30,FV25-014454,57.6,EUR,telecom,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/09 - COMPTA FOURNISSEURS SEPTEMBRE/Facture-ActivMedia-Pellegrin-Septembre2025.pdf,Facture-ActivMedia-Pellegrin-Septembre2025.pdf,,2025,facture,facture,PE CONSULTANT SEO,2025-09-28,,320.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/12 - COMPTA FOURNISSEURS DECEMBRE/RCXM39PKKX.pdf,RCXM39PKKX.pdf,,2025,facture,recu,AIRBNB,2025-09-28,,72.52,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/12 - COMPTA FOURNISSEURS DECEMBRE/RCYWZXNFJ3.pdf,RCYWZXNFJ3.pdf,,2025,facture,recu,AIRBNB,2025-09-28,,95.53,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/09 - COMPTA FOURNISSEURS SEPTEMBRE/JMBFR_Fac_26461105.pdf,JMBFR_Fac_26461105.pdf,,2025,facture,facture,JMBFR,2025-09-26,FR92495206690,31.5,EUR,telecom,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/09 - COMPTA FOURNISSEURS SEPTEMBRE/JMBFR_Fac_26446067.pdf,JMBFR_Fac_26446067.pdf,,2025,facture,facture,JMBFR,2025-09-23,FR92495206690,411.87,EUR,telecom,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/09 - COMPTA FOURNISSEURS SEPTEMBRE/Facture_000041_PEPITE_ACTIV_MEDIA.pdf,Facture_000041_PEPITE_ACTIV_MEDIA.pdf,,2025,facture,facture,PEPITE,2025-09-15,41,658.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/09 - COMPTA FOURNISSEURS SEPTEMBRE/2508-004-EI-MEUNIER-MOUCHVOZ-LAURA.pdf,2508-004-EI-MEUNIER-MOUCHVOZ-LAURA.pdf,,2025,facture,facture,LAURA MEUNIER,2025-09-02,2508-004,2250.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/09 - COMPTA FOURNISSEURS SEPTEMBRE/FRINV26000000011656.pdf,FRINV26000000011656.pdf,,2025,facture,facture,FRINV,2025-09-01,FRINV26000000011656,653.97,EUR,materiel_achats,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/09 - COMPTA FOURNISSEURS SEPTEMBRE/Facture Session Sept- JG.pdf,Facture Session Sept- JG.pdf,,2025,facture,facture,SESSION SEPT,2025-09-01,,1050.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/08 - COMPTA FOURNISSEURS AOUT/Facture-ActivMedia-Pellegrin-aout2025.pdf,Facture-ActivMedia-Pellegrin-aout2025.pdf,,2025,facture,facture,PE CONSULTANT SEO,2025-08-22,,320.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/08 - COMPTA FOURNISSEURS AOUT/003625F.pdf,003625F.pdf,,2025,facture,facture,FRANCOIS MAESTRATI,2025-08-04,FR92495206690,132.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/07 - COMPTA FOURNISSEURS JUILLET/Sales - Invoice_FV25-010675.Pdf,Sales - Invoice_FV25-010675.Pdf,,2025,facture,facture,HELLOWORK,2025-07-31,FV25-010675,100.8,EUR,telecom,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/07 - COMPTA FOURNISSEURS JUILLET/FACTURE-JUILLET2025-PELLEGRIN-ACTIVMEDIA.pdf,FACTURE-JUILLET2025-PELLEGRIN-ACTIVMEDIA.pdf,,2025,facture,facture,PE CONSULTANT SEO,2025-07-29,,320.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/07 - COMPTA FOURNISSEURS JUILLET/Facture_EDF_10232032466.pdf,Facture_EDF_10232032466.pdf,,2025,facture,facture,EDF,2025-07-29,10232032466,87.5,EUR,energie,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/07 - COMPTA FOURNISSEURS JUILLET/invoice-amazon.pdf,invoice-amazon.pdf,,2025,facture,facture,AMAZON,2025-07-23,LU20260743,11.69,EUR,materiel_achats,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/07 - COMPTA FOURNISSEURS JUILLET/invoice-amazon2.pdf,invoice-amazon2.pdf,,2025,facture,facture,AMAZON,2025-07-22,LU20260743,34.99,EUR,materiel_achats,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/07 - COMPTA FOURNISSEURS JUILLET/FA20251929.pdf,FA20251929.pdf,,2025,facture,facture,MICROLOGIK,2025-07-07,FA20251929,36.0,EUR,materiel_achats,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/07 - COMPTA FOURNISSEURS JUILLET/FACTURE - NIKOLOVA Rositsa .pdf,FACTURE - NIKOLOVA Rositsa .pdf,,2025,facture,facture,COM INTO BLOSSOM,2025-07-03,,490.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/06 - COMPTA FOURNISSEURS JUIN/FACTURE-JUIN2025-PELLEGRIN-ACTIVMEDIA.pdf,FACTURE-JUIN2025-PELLEGRIN-ACTIVMEDIA.pdf,,2025,facture,facture,PE CONSULTANT SEO,2025-06-30,25-06-36,320.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/07 - COMPTA FOURNISSEURS JUILLET/Facture_000039_PEPITE_ACTIV_MEDIA.pdf,Facture_000039_PEPITE_ACTIV_MEDIA.pdf,,2025,facture,facture,PEPITE,2025-06-30,39,987.0,EUR,prestations,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/07 - COMPTA FOURNISSEURS JUILLET/Sales - Invoice_FV25-008592.Pdf,Sales - Invoice_FV25-008592.Pdf,,2025,facture,facture,HELLOWORK,2025-06-30,FV25-008592,43.2,EUR,telecom,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/06 - COMPTA FOURNISSEURS JUIN/eDF_Facture_20250710_161229.pdf,eDF_Facture_20250710_161229.pdf,,2025,facture,facture,EDF,2025-06-29,10229827827,85.46,EUR,energie,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/06 - COMPTA FOURNISSEURS JUIN/Solde finale EDEN BOAT - Facture.pdf,Solde finale EDEN BOAT - Facture.pdf,,2025,facture,facture,IKEA,2025-06-20,,250.0,EUR,materiel_achats,depense,False,True,True,,ok,False,,,OK,100
/Users/loulou/Desktop/Stage/FACTURES FOURNISSEURS _ CLIENTS/2025 COMPTA/FACTURES FOURNISSEURS/06 - COMPTA FOURNISSEURS JUIN/INV309867272.pdf,INV309867272.pdf,,2025,facture,recu,ZOOM,2025-06-17,Payment,59.79,EUR,logiciels_abonnements,depense,False,True,True,,ok,False,,,OK,100
